Trade Number,Direction,Signal Time,Entry Time,Entry,Stop,Target,Exit Time,Exit Price,Result,R,Duration Hours
218,SHORT,2026-09-01T04:00:00.000Z,2026-09-01T05:00:00.000Z,29432.36,29461.74,29373.6,2026-09-01T05:00:00.000Z,29461.74,LOSS,-1,0
219,SHORT,2026-09-01T10:00:00.000Z,2026-09-01T11:00:00.000Z,29169.11,29217.11,29073.11,2026-09-01T13:00:00.000Z,29073.11,WIN,2,2
220,LONG,2026-09-01T23:00:00.000Z,2026-09-02T00:00:00.000Z,29097.05,29082.92,29125.31,2026-09-02T00:00:00.000Z,29082.92,LOSS,-1,0
221,LONG,2026-09-02T02:00:00.000Z,2026-09-02T03:00:00.000Z,29048.42,29007.8,29129.66,2026-09-02T04:00:00.000Z,29007.8,LOSS,-1,1
222,LONG,2026-09-02T05:00:00.000Z,2026-09-02T06:00:00.000Z,29034.67,29000.67,29102.67,2026-09-02T06:00:00.000Z,29000.67,LOSS,-1,0
223,SHORT,2026-09-02T07:00:00.000Z,2026-09-02T08:00:00.000Z,29024.8,29083.3,28907.8,2026-09-02T09:00:00.000Z,28907.8,WIN,2,1
224,LONG,2026-09-02T10:00:00.000Z,2026-09-02T11:00:00.000Z,28950.3,28910.55,29029.8,2026-09-02T11:00:00.000Z,28910.55,LOSS,-1,0
225,SHORT,2026-09-02T12:00:00.000Z,2026-09-02T13:00:00.000Z,29003.17,29111.55,28786.41,2026-09-02T14:00:00.000Z,29111.55,LOSS,-1,1
226,LONG,2026-09-02T17:00:00.000Z,2026-09-02T18:00:00.000Z,29122.57,29089.07,29189.57,2026-09-03T03:00:00.000Z,29189.57,WIN,2,9
227,SHORT,2026-09-03T08:00:00.000Z,2026-09-03T09:00:00.000Z,29180.42,29255.79,29029.68,2026-09-03T13:00:00.000Z,29255.79,LOSS,-1,4
228,LONG,2026-09-03T14:00:00.000Z,2026-09-03T15:00:00.000Z,29326.82,29207.07,29566.32,2026-09-04T05:00:00.000Z,29566.32,WIN,2,14
229,LONG,2026-09-04T08:00:00.000Z,2026-09-04T09:00:00.000Z,29618.52,29596.27,29663.02,2026-09-04T09:00:00.000Z,29596.27,LOSS,-1,0
230,SHORT,2026-09-04T15:00:00.000Z,2026-09-04T16:00:00.000Z,29476.05,29503.92,29420.31,2026-09-04T16:00:00.000Z,29503.92,LOSS,-1,0
231,LONG,2026-09-04T19:00:00.000Z,2026-09-04T20:00:00.000Z,29531.42,29467.92,29658.42,2026-09-08T01:00:00.000Z,29658.42,WIN,2,77
232,SHORT,2026-09-08T04:00:00.000Z,2026-09-08T05:00:00.000Z,29709.36,29736.74,29654.6,2026-09-08T05:00:00.000Z,29654.6,WIN,2,0
233,SHORT,2026-09-08T10:00:00.000Z,2026-09-08T11:00:00.000Z,29540.11,29620.99,29378.35,2026-09-08T12:00:00.000Z,29620.99,LOSS,-1,1
234,LONG,2026-09-08T14:00:00.000Z,2026-09-08T15:00:00.000Z,29535.51,29397.51,29811.51,2026-09-09T09:00:00.000Z,29397.51,LOSS,-1,18
235,SHORT,2026-09-09T10:00:00.000Z,2026-09-09T11:00:00.000Z,29366.83,29407.7,29285.09,2026-09-09T11:00:00.000Z,29407.7,LOSS,-1,0
236,SHORT,2026-09-09T12:00:00.000Z,2026-09-09T13:00:00.000Z,29365.95,29379.33,29339.19,2026-09-09T13:00:00.000Z,29379.33,LOSS,-1,0
237,SHORT,2026-09-09T14:00:00.000Z,2026-09-09T15:00:00.000Z,29504.35,29569.35,29374.35,2026-09-09T15:00:00.000Z,29374.35,WIN,2,0
238,LONG,2026-09-09T16:00:00.000Z,2026-09-09T17:00:00.000Z,29433.6,29362.73,29575.34,2026-09-10T01:00:00.000Z,29362.73,LOSS,-1,8
239,LONG,2026-09-10T02:00:00.000Z,2026-09-10T03:00:00.000Z,29393.94,29348.31,29485.2,2026-09-10T09:00:00.000Z,29348.31,LOSS,-1,6
240,LONG,2026-09-10T16:00:00.000Z,2026-09-10T17:00:00.000Z,29208.84,29110.21,29406.1,2026-09-10T19:00:00.000Z,29110.21,LOSS,-1,2
241,LONG,2026-09-10T20:00:00.000Z,2026-09-10T22:00:00.000Z,29118.26,29102.19,29150.4,2026-09-10T22:00:00.000Z,29102.19,LOSS,-1,0
242,SHORT,2026-09-11T07:00:00.000Z,2026-09-11T08:00:00.000Z,29219.22,29245.22,29167.22,2026-09-11T08:00:00.000Z,29245.22,LOSS,-1,0
243,SHORT,2026-09-11T09:00:00.000Z,2026-09-11T10:00:00.000Z,29296.72,29310.22,29269.72,2026-09-11T10:00:00.000Z,29310.22,LOSS,-1,0
244,LONG,2026-09-11T11:00:00.000Z,2026-09-11T12:00:00.000Z,29300.47,29267.09,29367.23,2026-09-11T12:00:00.000Z,29267.09,LOSS,-1,0
245,LONG,2026-09-11T13:00:00.000Z,2026-09-11T14:00:00.000Z,29449.62,29326.24,29696.38,2026-09-11T14:00:00.000Z,29326.24,LOSS,-1,0
